DrawingYN,Latitude,Listing ID,Longitude,Matrix_Unique_ID,ModificationTimestamp,OpenHouseAttendedBy,OpenHouseDate,OpenHouseDirections,OpenHouseEndTime,OpenHouseRemarks,OpenHouseStartTime,OpenHouseStatus,OpenHouseType,Order,Refreshments,ResourceRecordKeyNumeric,ShowingAgentKeyNumeric,ShowingOfficeKeyNumeric,ShowingOfficeMlsId,Parcel Number,Property Sub Type 
,33.786231,SB24030543,-118.402765,409618439,02/21/2024 4:16:10 PM,Seller,02/27/2024 12:00:00 AM,,1300,,1100,,Broker,1,,409168388,293876263,10012817,S6669,7541021007,Single Family Residence
,33.798229,OC23154934,-118.406058,409853056,02/26/2024 8:34:12 AM,Agent,02/27/2024 12:00:00 AM,,1400,,1200,,Broker,7,,400795948,249067467,102040790,OC05963,7540003016,Single Family Residence
,33.803472,SB24037188,-118.389231,409889836,02/26/2024 5:04:56 PM,Agent,02/27/2024 12:00:00 AM,,1300,Come see this one in person!,1100,,Broker,3,,409714174,20589989,10014194,S5543,7539004005,Single Family Residence
